random player,alpha depth 1,alpha depth 2
57,2,27
72,0,28
58,1,21
67,0,22
,,
63,0,29
58,2,35
53,2,22
53,2,32
59,1,31
74,1,34
52,2,25
62,0,21
56,0,28
48,2,24
63,1,24
57,0,22
54,2,22
57,2,26
60,4,31
61,1,31
51,0,23
59,3,28
55,0,28
60,1,24

51,3,29
57,1,22

69,6,20
72,2,29
69,4,32
70,1,28
72,3,30
64,3,26
74,7,27
69,5,25
70,4,31
69,5,28
71,4,29
59,4,32
66,4,21
65,4,24
70,4,33
66,4,28
71,2,25
65,2,29
68,2,25
67,2,30
58,5,26
68,2,29
75,3,31
69,6,25
72,3,30
63,2,29
56,5,31



60,3,35
55,1,29
62,0,34
61,4,33
54,0,35
59,0,34
